@relation whatever

@attribute light numeric
@attribute sound numeric
@attribute movement numeric
@attribute locked {0,1}
@attribute charging {0,1}
@attribute state {0,1}


@data
0 , 60 , 0.00535583 , 0 , 0 , 0 
0 , 78 , 0.0428925 , 0 , 0 , 0 
0 , 3229 , 0.845787 , 0 , 0 , 0 
0 , 5768 , 0.224472 , 0 , 0 , 0 
0 , 13251 , 0.464874 , 0 , 0 , 0 
0 , 20596 , 0.505486 , 0 , 0 , 0 
0 , 3051 , 0.22995 , 0 , 0 , 0 
0 , 1675 , 0.692108 , 0 , 0 , 0 
0 , 4503 , 2.73151 , 0 , 0 , 0 
0 , 1254 , 70.4762 , 0 , 0 , 0 
0 , 60 , 1.97616 , 0 , 0 , 0 
0 , 78 , 0.715988 , 1 , 1 , 1 
0 , 48 , 0.796791 , 1 , 1 , 1 
0 , 40 , 0.627564 , 1 , 1 , 1 
0 , 50 , 0.677505 , 1 , 1 , 1 
0 , 48 , 0.810967 , 1 , 1 , 1 
0 , 30 , 0.812492 , 1 , 1 , 1 
0 , 30 , 0.293091 , 1 , 1 , 1 
0 , 40 , 0.655067 , 1 , 1 , 1 
0 , 30 , 0.797462 , 1 , 1 , 1 
0 , 40 , 0.904274 , 1 , 1 , 1 
0 , 68 , 0.751389 , 1 , 1 , 1 
0 , 40 , 1052 , 1 , 1 , 1 
0 , 40 , 1.09816 , 1 , 1 , 1 
0 , 40 , 0.608017 , 1 , 1 , 1 
0 , 50 , 1.36097 , 1 , 1 , 1 
0 , 58 , 0.978607 , 1 , 1 , 1 
0 , 136 , 1.19271 , 1 , 1 , 1 
0 , 48 , 1.22945 , 1 , 1 , 1 
0 , 48 , 1.32564 , 1 , 1 , 1 
0 , 30 , 1.25553 , 1 , 1 , 1 
0 , 40 , 1.73233 , 1 , 1 , 1 
0 , 30 , 1.21426 , 1 , 1 , 1 
0 , 30 , 1.25348 , 1 , 1 , 1 
0 , 30 , 1.06332 , 1 , 1 , 1 
0 , 40 , 1.30232 , 1 , 1 , 1 
0 , 30 , 1.12308 , 1 , 1 , 1 
0 , 48 , 1.78113 , 1 , 1 , 1 
0 , 78 , 0.991409 , 1 , 1 , 1 
0 , 40 , 1.39703 , 1 , 1 , 1 
0 , 58 , 1.15482 , 1 , 1 , 1 
0 , 58 , 1.30344 , 1 , 1 , 1 
0 , 40 , 1.07555 , 1 , 1 , 1 
0 , 40 , 1.69663 , 1 , 1 , 1 
0 , 30 , 0.894547 , 1 , 1 , 1 
0 , 40 , 1.10904 , 1 , 1 , 1 
0 , 40 , 1.55226 , 1 , 1 , 1 
0 , 50 , 1.23001 , 1 , 1 , 1 
0 , 48 , 1.25426 , 1 , 1 , 1 
0 , 58 , 1.26577 , 1 , 1 , 1 
0 , 30 , 1.25444 , 1 , 1 , 1 
0 , 40 , 1.26489 , 1 , 1 , 1 
0 , 40 , 1.34935 , 1 , 1 , 1 
0 , 40 , 1.53942 , 1 , 1 , 1 
0 , 50 , 1.49437 , 1 , 1 , 1 
0 , 48 , 1.26415 , 1 , 1 , 1 
0 , 78 , 1.14507 , 1 , 1 , 1 
0 , 50 , 1.07309 , 1 , 1 , 1 
0 , 30 , 1.57743 , 1 , 1 , 1 
0 , 30 , 1.27692 , 1 , 1 , 1 
0 , 58 , 1.51688 , 1 , 1 , 1 
0 , 68 , 1.14648 , 1 , 1 , 1 
0 , 50 , 1.30305 , 1 , 1 , 1 
0 , 50 , 1.27794 , 1 , 1 , 1 
0 , 58 , 1.11234 , 1 , 1 , 1 
0 , 126 , 1.31171 , 1 , 1 , 1 
0 , 40 , 1.22787 , 1 , 1 , 1 
0 , 58 , 1.21977 , 1 , 1 , 1 
0 , 40 , 1.1699 , 1 , 1 , 1 
0 , 48 , 1.6251 , 1 , 1 , 1 
0 , 58 , 1.46848 , 1 , 1 , 1 
0 , 50 , 1.04839 , 1 , 1 , 1 
0 , 58 , 1.73247 , 1 , 1 , 1 
0 , 68 , 0.906334 , 1 , 1 , 1 
0 , 40 , 1.06511 , 1 , 1 , 1 
0 , 134 , 1.32544 , 1 , 1 , 1 
0 , 83 , 1.26492 , 1 , 1 , 1 
0 , 50 , 1.50617 , 1 , 1 , 1 
0 , 106 , 1.07503 , 1 , 1 , 1 
0 , 128 , 1.02628 , 1 , 1 , 1 
0 , 60 , 1.52654 , 1 , 1 , 1 
0 , 40 , 1.04877 , 1 , 1 , 1 
0 , 40 , 1.1935 , 1 , 1 , 1 
0 , 30 , 1.13427 , 1 , 1 , 1 
0 , 68 , 1.39752 , 1 , 1 , 1 
0 , 78 , 1.51981 , 1 , 1 , 1 
0 , 40 , 1.58833 , 1 , 1 , 1 
0 , 68 , 1.36289 , 1 , 1 , 1 
0 , 58 , 1.04961 , 1 , 1 , 1 
0 , 58 , 1.33653 , 1 , 1 , 1 
1 , 58 , 0.953911 , 1 , 1 , 1 
1 , 116 , 1.95583 , 1 , 0 , 1 
1 , 68 , 1.79698 , 1 , 0 , 1 
1 , 78 , 1.56846 , 1 , 0 , 1 
1 , 88 , 1.52397 , 1 , 0 , 1 
2 , 88 , 1.52829 , 1 , 0 , 1 
3 , 812 , 0.355888 , 1 , 0 , 1 
3 , 103 , 1.95247 , 1 , 0 , 1 
3 , 68 , 1.85654 , 1 , 0 , 1 
3 , 83 , 2.00799 , 1 , 0 , 1 
1 , 70 , 2.28409 , 0 , 0 , 0 
1 , 344 , 0.310707 , 0 , 0 , 0 
1 , 16612 , 0.31646 , 0 , 0 , 0 
1 , 595 , 0.584061 , 0 , 0 , 0 
3 , 974 , 0.950256 , 0 , 0 , 0 
6 , 98 , 0.984451 , 1 , 0 , 0 
8 , 50 , 1.77628 , 1 , 0 , 0 
10 , 88 , 1.69592 , 1 , 0 , 0 
8 , 4753 , 1.28403 , 1 , 0 , 0 
8 , 150 , 1.25284 , 1 , 0 , 0 
12 , 122 , 1.88837 , 1 , 0 , 0 
0 , 1173 , 1.28447 , 1 , 0 , 0 
0 , 1428 , 0.293503 , 1 , 0 , 0 
0 , 924 , 67.2401 , 1 , 0 , 0 
0 , 2748 , 0.085968 , 1 , 0 , 0 
0 , 2256 , 0.238411 , 1 , 0 , 0 
1 , 779 , 46.2866 , 1 , 0 , 0 
0 , 24009 , 0.622269 , 1 , 0 , 0 
0 , 29892 , 6.5403 , 1 , 0 , 0 
0 , 16199 , 4.85872 , 1 , 0 , 0 
31 , 4500 , 1.76236 , 1 , 0 , 0 
45 , 1005 , 1.6286 , 1 , 0 , 0 
50 , 2242 , 1.70535 , 1 , 0 , 0 
53 , 1112 , 1.30842 , 1 , 0 , 0 
51 , 753 , 1.60384 , 1 , 0 , 0 
57 , 737 , 1.24747 , 1 , 0 , 0 
0 , 3290 , 6.36636 , 1 , 0 , 0 
0 , 6354 , 40.6667 , 1 , 0 , 0 
0 , 1990 , 1.05754 , 1 , 0 , 0 
2 , 7908 , 0.999184 , 1 , 0 , 0 
0 , 2840 , 1.03207 , 1 , 0 , 0 
0 , 4447 , 0.823303 , 1 , 0 , 0 
39 , 1307 , 0.925377 , 1 , 0 , 0 
38 , 3455 , 0.491737 , 1 , 0 , 0 
36 , 4015 , 1.2383 , 1 , 0 , 0 
35 , 2076 , 1.65721 , 1 , 0 , 0 
41 , 6389 , 1.1665 , 1 , 0 , 0 
49 , 4232 , 1.35723 , 1 , 0 , 0 
62 , 3084 , 0.082962 , 1 , 0 , 0 
49 , 3045 , 2.23157 , 1 , 0 , 0 
45 , 2890 , 0.937332 , 1 , 0 , 0 
5 , 2566 , 1.50121 , 1 , 0 , 0 
22 , 1993 , 0.760696 , 0 , 0 , 0 
45 , 15768 , 1.37933 , 1 , 0 , 0 
0 , 4315 , 1.53912 , 1 , 0 , 0 
0 , 3668 , 0.75161 , 1 , 0 , 0 
0 , 6394 , 2038 , 1 , 0 , 0 
0 , 10870 , 24.5152 , 1 , 0 , 0 
12 , 6605 , 5.18525 , 0 , 0 , 0 
53 , 12886 , 3.62102 , 1 , 0 , 0 
54 , 5796 , 0.904526 , 1 , 0 , 0 
55 , 6377 , 1.5338 , 1 , 0 , 0 
46 , 3860 , 1.45277 , 1 , 0 , 0 
47 , 3559 , 1105 , 1 , 0 , 0 
41 , 1255 , 1.70308 , 1 , 0 , 0 
38 , 22500 , 1.15292 , 1 , 0 , 0 
28 , 1961 , 0.912331 , 0 , 0 , 0 
42 , 1103 , 1.35768 , 1 , 0 , 0 
40 , 1645 , 1.05734 , 1 , 0 , 0 
38 , 1675 , 1.16637 , 1 , 0 , 0 
31 , 2035 , 0.866791 , 1 , 0 , 0 
29 , 4505 , 0.998726 , 1 , 0 , 0 
26 , 1267 , 1.17738 , 1 , 0 , 0 
0 , 1227 , 0.436005 , 1 , 0 , 0 
0 , 4804 , 3.21171 , 1 , 0 , 0 
0 , 7633 , 0.174637 , 1 , 0 , 0 
0 , 3627 , 1.7115 , 1 , 0 , 0 
0 , 2535 , 1172 , 1 , 0 , 0 
0 , 15294 , 4.57237 , 1 , 0 , 0 
20 , 2499 , 0.349854 , 0 , 0 , 0 
12 , 1187 , 0.96228 , 0 , 0 , 0 
36 , 7842 , 1.41271 , 1 , 0 , 0 
15 , 1952 , 1.50837 , 1 , 0 , 0 
24 , 888 , 1.18338 , 1 , 0 , 0 
24 , 1984 , 1.47278 , 1 , 0 , 0 
22 , 1923 , 1.49248 , 1 , 0 , 0 
12 , 17312 , 0.0375061 , 0 , 0 , 0 
15 , 2552 , 1.14905 , 0 , 0 , 0 
31 , 3886 , 1.07576 , 1 , 0 , 0 
0 , 563 , 1.68732 , 1 , 0 , 0 
0 , 3991 , 0.689934 , 1 , 0 , 0 
0 , 1235 , 0.582397 , 1 , 0 , 0 
0 , 1963 , 2.29297 , 1 , 0 , 0 
0 , 675 , 0.564621 , 1 , 0 , 0 
0 , 1144 , 0.525665 , 1 , 0 , 0 
0 , 749 , 0.784431 , 1 , 0 , 0 
66 , 976 , 0.809097 , 1 , 0 , 0 
65 , 6871 , 1.47533 , 1 , 0 , 0 
69 , 11605 , 1.08898 , 1 , 0 , 0 
68 , 5130 , 1.16277 , 1 , 0 , 0 
68 , 512 , 1574 , 1 , 0 , 0 
52 , 1451 , 0.000549316 , 1 , 0 , 0 
62 , 463 , 0.8918 , 1 , 0 , 0 
74 , 1217 , 1.05299 , 1 , 0 , 0 
74 , 330 , 1.60249 , 1 , 0 , 0 
74 , 5735 , 1.26096 , 1 , 0 , 0 
72 , 1058 , 1.18421 , 1 , 0 , 0 
52 , 931 , 1.33264 , 1 , 0 , 0 
53 , 548 , 1.26038 , 1 , 0 , 0 
32 , 11250 , 1.34285 , 0 , 0 , 0 
34 , 6677 , 1.31949 , 1 , 0 , 0 
35 , 1557 , 1.01859 , 1 , 0 , 0 
34 , 1880 , 1.33063 , 1 , 0 , 0 
30 , 799 , 0.900887 , 1 , 0 , 0 
36 , 765 , 1.39749 , 1 , 0 , 0 
34 , 21231 , 0.993469 , 1 , 0 , 0 
34 , 2099 , 1.35471 , 1 , 0 , 0 
34 , 688 , 1.47173 , 1 , 0 , 0 
34 , 1788 , 1.15781 , 1 , 0 , 0 
36 , 795 , 1.39191 , 1 , 0 , 0 
36 , 1195 , 1.3463 , 1 , 0 , 0 
15 , 5308 , 4.02915 , 0 , 0 , 0 
34 , 628 , 0.994659 , 1 , 0 , 0 
34 , 944 , 1.45531 , 1 , 0 , 0 
3 , 17033 , 1.04298 , 0 , 0 , 0 
36 , 26952 , 1.05943 , 0 , 0 , 0 
37 , 589 , 1.26125 , 1 , 0 , 0 
174 , 12862 , 2.50752 , 0 , 0 , 0 
0 , 5248 , 0.892197 , 1 , 0 , 0 
2 , 2747 , 10.0666 , 1 , 0 , 0 
18 , 1454 , 54.2623 , 0 , 0 , 0 
0 , 11294 , 1.13451 , 1 , 0 , 0 
0 , 16617 , 2.67108 , 1 , 0 , 0 
28 , 7523 , 26.6054 , 0 , 0 , 0 
0 , 17271 , 0.920166 , 1 , 0 , 0 
0 , 22069 , 1.19705 , 1 , 0 , 0 
0 , 467 , 1.73927 , 1 , 0 , 0 
0 , 8744 , 4.40775 , 1 , 0 , 0 
0 , 1195 , 1.55301 , 1 , 0 , 0 
0 , 23088 , 35.5945 , 1 , 0 , 0 
0 , 11134 , 41.7674 , 1 , 0 , 0 
0 , 4338 , 15363 , 1 , 0 , 0 
0 , 2399 , 0.768524 , 1 , 0 , 0 
0 , 23321 , 41181 , 1 , 0 , 0 
5 , 159 , 1.20113 , 1 , 1 , 0 
8 , 29504 , 0.373566 , 0 , 0 , 0 
89 , 1379 , 0.361977 , 1 , 0 , 0 
91 , 21515 , 1.12859 , 1 , 0 , 0 
13 , 1749 , 1.64274 , 1 , 0 , 0 
14 , 3861 , 1.41987 , 1 , 0 , 0 
12 , 3286 , 1.58649 , 1 , 0 , 0 
0 , 45 , 0.0876236 , 1 , 0 , 0 
83 , 846 , 1.63113 , 1 , 0 , 0 
0 , 68 , 1.27686 , 1 , 1 , 0 
107 , 4258 , 1.22874 , 0 , 0 , 0 
108 , 24135 , 5.63788 , 0 , 0 , 0 
18 , 45 , 1.47843 , 0 , 0 , 0 
0 , 2449 , 9.78771 , 1 , 0 , 0 
0 , 21088 , 36.2344 , 1 , 0 , 0 
0 , 7992 , 1.87245 , 1 , 0 , 0 
0 , 3187 , 48.1512 , 1 , 0 , 0 
0 , 4127 , 0.0195007 , 1 , 0 , 0 
69 , 4539 , 1.33481 , 1 , 0 , 0 
33 , 3477 , 1.16225 , 1 , 0 , 0 
58 , 5630 , 1.01091 , 1 , 0 , 0 
66 , 29773 , 1.21654 , 1 , 0 , 0 
0 , 5005 , 15.7159 , 1 , 0 , 0 
0 , 8543 , 0.698402 , 1 , 0 , 0 
0 , 6993 , 1.18742 , 1 , 0 , 0 
0 , 642 , 1.83267 , 1 , 0 , 0 
0 , 7634 , 1.16203 , 1 , 0 , 0 
0 , 3679 , 1.2732 , 1 , 0 , 0 
0 , 902 , 0.898361 , 1 , 0 , 0 
0 , 2893 , 0.71595 , 1 , 0 , 0 
0 , 307 , 0.857834 , 1 , 0 , 0 
0 , 2704 , 1.33861 , 1 , 0 , 0 
0 , 1297 , 0.834999 , 1 , 0 , 0 
0 , 2057 , 0.864296 , 1 , 0 , 0 
0 , 3806 , 0.888115 , 1 , 0 , 0 
0 , 489 , 0.522095 , 1 , 0 , 0 
0 , 8764 , 5.40764 , 1 , 0 , 0 
0 , 4743 , 8.04993 , 1 , 0 , 0 
0 , 248 , 1.10424 , 1 , 0 , 0 
0 , 2463 , 1.14986 , 1 , 0 , 0 
0 , 853 , 0.684143 , 1 , 0 , 0 
0 , 409 , 0.878197 , 1 , 0 , 0 
0 , 5230 , 0.625977 , 1 , 0 , 0 
0 , 1325 , 0.49778 , 1 , 0 , 0 
0 , 3497 , 0.51107 , 1 , 0 , 0 
0 , 1477 , 4.27616 , 1 , 0 , 0 
0 , 21209 , 0.482719 , 1 , 0 , 0 
0 , 683 , 0.234802 , 1 , 0 , 0 
0 , 4809 , 0.631081 , 1 , 0 , 0 
0 , 16505 , 2.65051 , 1 , 0 , 0 
0 , 13229 , 5.36118 , 1 , 0 , 0 
0 , 11019 , 0.97438 , 1 , 0 , 0 
0 , 11385 , 3.3101 , 1 , 0 , 0 
0 , 17551 , 8.08278 , 1 , 0 , 0 
0 , 7303 , 49.1392 , 1 , 0 , 0 
20 , 689 , 2.98086 , 0 , 0 , 0 
2 , 8011 , 2224 , 0 , 0 , 0 
0 , 10200 , 66.5245 , 1 , 0 , 0 
2 , 100 , 0.671082 , 0 , 0 , 0 
44 , 98 , 1.31802 , 1 , 0 , 0 
62 , 224 , 0.988419 , 1 , 1 , 0 
0 , 208 , 0.577194 , 1 , 1 , 0 
0 , 308 , 0.371902 , 1 , 1 , 0 
0 , 841 , 0.250793 , 1 , 1 , 0 
0 , 284 , 0.50045 , 1 , 1 , 0 
0 , 272 , 0.297302 , 1 , 1 , 0 
0 , 50 , 0.0656738 , 0 , 0 , 0 
0 , 101 , 0.592163 , 0 , 0 , 0 
0 , 30 , 0.573425 , 1 , 1 , 0 
0 , 40 , 0.223343 , 1 , 1 , 1 
0 , 30 , 0.656082 , 1 , 1 , 1 
0 , 40 , 0.717026 , 1 , 1 , 1 
0 , 40 , 0.806885 , 1 , 1 , 1 
0 , 50 , 0.113106 , 1 , 1 , 1 
0 , 40 , 0.379532 , 1 , 1 , 1 
0 , 40 , 0.425278 , 1 , 1 , 1 
0 , 40 , 0.715469 , 1 , 1 , 1 
0 , 40 , 0.270203 , 1 , 1 , 1 
0 , 40 , 0.441055 , 1 , 1 , 1 
0 , 30 , 0.704071 , 1 , 1 , 1 
0 , 98 , 0.500046 , 1 , 1 , 1 
0 , 48 , 1.23383 , 1 , 1 , 1 
0 , 50 , 0.660103 , 1 , 1 , 1 
0 , 40 , 0.704811 , 1 , 1 , 1 
0 , 20 , 0.764679 , 1 , 1 , 1 
0 , 40 , 0.709152 , 1 , 1 , 1 
0 , 50 , 0.646706 , 1 , 1 , 1 
0 , 48 , 0.904984 , 1 , 1 , 1 
0 , 40 , 1.06301 , 1 , 1 , 1 
0 , 116 , 0.945488 , 1 , 1 , 1 
0 , 88 , 1.06435 , 1 , 1 , 1 
0 , 48 , 1.03262 , 1 , 1 , 1 
0 , 40 , 0.946403 , 1 , 1 , 1 
0 , 58 , 1.17308 , 1 , 1 , 1 
0 , 50 , 0.815491 , 1 , 1 , 1 
0 , 58 , 1.07707 , 1 , 1 , 1 
0 , 50 , 1.26064 , 1 , 1 , 1 
0 , 68 , 0.958084 , 1 , 1 , 1 
0 , 78 , 1.24635 , 1 , 1 , 1 
0 , 50 , 1.21137 , 1 , 1 , 1 
0 , 48 , 0.884125 , 1 , 1 , 1 
0 , 50 , 0.770874 , 1 , 1 , 1 
0 , 58 , 1.17409 , 1 , 1 , 1 
0 , 40 , 0.891159 , 1 , 1 , 1 
0 , 116 , 0.81704 , 1 , 1 , 1 
0 , 58 , 1.22383 , 1 , 1 , 1 
0 , 30 , 1.06779 , 1 , 1 , 1 
0 , 68 , 1.37562 , 1 , 1 , 1 
0 , 40 , 0.775299 , 1 , 1 , 1 
0 , 68 , 1.07928 , 1 , 1 , 1 
0 , 68 , 0.886581 , 1 , 1 , 1 
0 , 40 , 0.897652 , 1 , 1 , 1 
0 , 40 , 0.860176 , 1 , 1 , 1 
0 , 50 , 0.980179 , 1 , 1 , 1 
0 , 40 , 1.17433 , 1 , 1 , 1 
0 , 40 , 0.981354 , 1 , 1 , 1 
0 , 88 , 1.11655 , 1 , 1 , 1 
0 , 40 , 0.972115 , 1 , 1 , 1 
0 , 30 , 0.910629 , 1 , 1 , 1 
0 , 68 , 0.887123 , 1 , 1 , 1 
0 , 48 , 0.900772 , 1 , 1 , 1 
0 , 40 , 1.19954 , 1 , 1 , 1 
0 , 88 , 1.12852 , 1 , 1 , 1 
0 , 50 , 0.874031 , 1 , 1 , 1 
0 , 58 , 1.05861 , 1 , 1 , 1 
0 , 58 , 1.06423 , 1 , 1 , 1 
0 , 30 , 1.00755 , 1 , 1 , 1 
0 , 40 , 1.13347 , 1 , 1 , 1 
0 , 48 , 0.958084 , 1 , 1 , 1 
0 , 116 , 0.840462 , 1 , 1 , 1 
0 , 48 , 0.979309 , 1 , 1 , 1 
0 , 50 , 0.94928 , 1 , 1 , 1 
0 , 40 , 1.02071 , 1 , 1 , 1 
0 , 58 , 1.42767 , 1 , 1 , 1 
0 , 40 , 0.958481 , 1 , 1 , 1 
0 , 58 , 1.10357 , 1 , 1 , 1 
0 , 48 , 1.2099 , 1 , 1 , 1 
0 , 40 , 0.959679 , 1 , 1 , 1 
0 , 58 , 1.51898 , 1 , 1 , 1 
0 , 78 , 0.927254 , 1 , 1 , 1 
0 , 76 , 1.12392 , 1 , 1 , 1 
0 , 58 , 0.840103 , 1 , 1 , 1 
0 , 78 , 0.815941 , 1 , 1 , 1 
0 , 68 , 1.05571 , 1 , 1 , 1 
0 , 148 , 1.30672 , 1 , 1 , 1 
0 , 78 , 1.18153 , 1 , 0 , 1 
0 , 58 , 1.42187 , 1 , 0 , 1 
0 , 50 , 1.60205 , 1 , 0 , 1 
0 , 58 , 1.52269 , 1 , 0 , 1 
0 , 58 , 1.88948 , 1 , 0 , 1 
0 , 58 , 1.73649 , 1 , 0 , 1 
0 , 58 , 1.96485 , 1 , 0 , 1 
0 , 78 , 1.56444 , 1 , 0 , 1 
0 , 88 , 1.82233 , 1 , 0 , 1 
0 , 78 , 1.86862 , 1 , 0 , 1 
0 , 58 , 1.53276 , 1 , 0 , 1 
1 , 78 , 1.75613 , 1 , 0 , 1 
1 , 98 , 1.66943 , 1 , 0 , 1 
1 , 45 , 1.86748 , 1 , 0 , 1 
1 , 90 , 1.70871 , 1 , 0 , 1 
1 , 4380 , 1.72536 , 1 , 0 , 1 
1 , 82 , 2.06752 , 1 , 0 , 1 
1 , 58 , 1.77223 , 1 , 0 , 1 
6 , 50 , 2.09854 , 1 , 0 , 1 
6 , 291 , 1.82335 , 1 , 0 , 1 
6 , 108 , 1.60028 , 1 , 0 , 1 
6 , 88 , 1.85299 , 1 , 0 , 1 
2 , 108 , 1.63474 , 0 , 0 , 0 
6 , 98 , 1.98221 , 1 , 0 , 0 
8 , 50 , 1.79403 , 1 , 0 , 0 
8 , 126 , 1.96935 , 1 , 0 , 0 
9 , 50 , 1.63341 , 1 , 0 , 0 
1 , 68 , 1.8889 , 1 , 0 , 0 
1 , 113 , 1.78921 , 1 , 0 , 0 
0 , 258 , 0.121887 , 1 , 0 , 0 
0 , 1355 , 2.10558 , 1 , 0 , 0 
0 , 6571 , 2.49197 , 1 , 0 , 0 
0 , 15158 , 7.33775 , 1 , 0 , 0 
0 , 6243 , 28.8808 , 1 , 0 , 0 
0 , 2496 , 0.687576 , 1 , 0 , 0 
0 , 11860 , 0.488213 , 1 , 0 , 0 
292 , 7040 , 0.806519 , 0 , 0 , 0 
0 , 5346 , 3.21203 , 1 , 0 , 0 
0 , 3850 , 0.141068 , 1 , 0 , 0 
0 , 9438 , 0.29612 , 1 , 0 , 0 
205 , 0 , 0.0806427 , 0 , 0 , 0 
0 , 9697 , 2.11597 , 1 , 0 , 0 
346 , 19229 , 0.768311 , 1 , 0 , 0 
249 , 7141 , 0.622055 , 1 , 0 , 0 
335 , 10109 , 1.11299 , 1 , 0 , 0 
0 , 6904 , 9.38594 , 1 , 0 , 0 
0 , 2623 , 2.64284 , 1 , 0 , 0 
105 , 14539 , 0.656334 , 0 , 0 , 0 
81 , 6093 , 1.56204 , 1 , 0 , 0 
85 , 8274 , 1.78083 , 1 , 0 , 0 
0 , 2634 , 1.35952 , 1 , 0 , 0 
75 , 3011 , 1.09988 , 1 , 0 , 0 
68 , 1332 , 1.5122 , 1 , 0 , 0 
68 , 867 , 1.23586 , 1 , 0 , 0 
58 , 7785 , 1.5933 , 1 , 0 , 0 
72 , 2050 , 1.35233 , 1 , 0 , 0 
143 , 1744 , 1.14592 , 0 , 0 , 0 
0 , 5658 , 9.87119 , 1 , 0 , 0 
0 , 1731 , 0.435982 , 1 , 0 , 0 
0 , 8259 , 1.09357 , 1 , 0 , 0 
